Timestamp,Gender,Age,District,Occupation,Educational background,Marital status,Monthly income,Type of bank you use for your mobile banking application,Source to know about the mobile banking application,Duration of using the mobile banking application,The preferred way to use the mobile banking application,Use of mobile application,Average amount of money  transfer during a month using the mobile banking application,Average total amount of money transfer during a month by going to the bank or ATM,Willing to use the mobile banking application to perform transactions with other banks,Willing to use the mobile banking application to do large transactions,Satisfied with the security measurements in your mobile banking application,Satisfied with the service charges related to the mobile banking application,"Provide an overall rating to your mobile banking application( 1-worst, 5-best)",Which banks have better mobile banking applications
03/11/2020 16:57:30,Female,16 to 25,Matara,Student,Degree,Single,Not applicable,Both,From the bank,Less than 6 months,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 1000 to 5000,Between 1000 to 5000,Yes,No,Yes,Yes,5,Government banks
03/11/2020 17:06:34,Female,16 to 25,Matara,Student,A/L,Single,Not applicable,Private,From a friend,More than 1 year,Browser,Pay bills,Between 1000 to 5000,Less than 1000,Yes,No,Yes,Yes,4,Private banks
03/11/2020 17:21:36,Female,16 to 25,Matara,Student,A/L,Single,Not applicable,Public,From the bank,Less than 6 months,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 5000 to 10000,Between 5000 to 10000,Yes,Yes,Yes,Yes,4,Government banks
03/11/2020 18:16:49,Female,16 to 25,Gampaha,Student,Degree,Single,Not applicable,Public,From TV advertisments,Less than 6 months,Mobile app,Check bank balance,Less than 1000,Less than 1000,Yes,Yes,Yes,Yes,4,Not applicable
03/11/2020 18:29:25,Female,16 to 25,Ratnapura,Student,Degree,Single,Not applicable,Both,From a friend,Less than 6 months,Mobile app,"Transfer money to other accounts, Check bank balance",Between 1000 to 5000,Between 1000 to 5000,No,No,Yes,Neutral,4,Private banks
03/11/2020 18:39:16,Female,16 to 25,Matara,Private Sector,Degree,Single,Less than 20000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 1000 to 5000,Between 1000 to 5000,Yes,Yes,No,No,3,Private banks
03/11/2020 18:42:16,Female,16 to 25,Badulla,Student,Degree,Single,Not applicable,Private,From the bank,Less than 6 months,Mobile app,Check bank balance,Less than 1000,Less than 1000,No,No,Yes,Neutral,3,Not applicable
03/11/2020 19:01:51,Female,25 to 45,Kurunegala,Student,Degree,Single,Not applicable,Both,Advertisement,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 1000 to 5000,Between 1000 to 5000,Yes,Yes,Yes,Neutral,4,Private banks
03/11/2020 19:07:36,Male,16 to 25,Matara,Student,A/L,Single,Not applicable,Both,Advertisement,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Between 5000 to 10000,Yes,Yes,Yes,Yes,4,Government banks
03/11/2020 19:08:27,Female,16 to 25,Matara,Student,A/L,Single,Not applicable,Public,From a friend,Less than 6 months,Mobile app,Transfer money to other accounts,Less than 1000,Less than 1000,Yes,Yes,Yes,Yes,2,Government banks
03/11/2020 19:12:38,Male,16 to 25,Matara,Student,Degree,Single,Not applicable,Both,From the bank,Between 6 months to 1 year,Mobile app,Pay bills,Between 5000 to 10000,Between 1000 to 5000,No,No,Yes,Yes,3,Not applicable
03/11/2020 19:14:52,Male,25 to 45,Badulla,Student,Degree,Single,Less than 20000,Private,From the bank,More than 1 year,Browser,"Pay bills, Check bank balance, Set up standing orders",Less than 1000,Between 1000 to 5000,No,No,Yes,No,4,Private banks
03/11/2020 19:18:59,Male,16 to 25,Hambantota,Student,Degree,Single,Not applicable,Both,From a friend,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 1000 to 5000,Between 1000 to 5000,Yes,No,No,Yes,4,Private banks
03/11/2020 19:49:37,Male,16 to 25,Gampaha,Student,Degree,Single,Not applicable,Public,Advertisement,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 1000 to 5000,Between 5000 to 10000,Yes,No,Yes,Yes,4,Private banks
03/11/2020 20:22:37,Male,16 to 25,Colombo,Self-employed,Diploma,Single,Between 20000 to 50000,Both,From the bank,Less than 6 months,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance, Set up standing orders",Between 10000 to 50000,Between 10000 to 50000,Yes,Yes,Yes,Neutral,4,Not applicable
03/11/2020 20:30:35,Male,16 to 25,Matara,Student,Degree,Single,Less than 20000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance, Apply for loans, Set up standing orders",More than 50000,More than 50000,Yes,Yes,Yes,Yes,5,Government banks
03/11/2020 23:37:36,Male,16 to 25,Gampaha,Private Sector,Degree,Single,More than 100000,Private,From the bank,More than 1 year,Browser,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Between 10000 to 50000,Yes,Yes,Yes,No,4,Private banks
04/11/2020 08:23:38,Male,25 to 45,Colombo,Private Sector,Degree,Single,Between 50000 to 100000,Both,Advertisement,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 5000 to 10000,Between 10000 to 50000,Yes,No,Yes,No,3,Not applicable
04/11/2020 10:10:47,Female,16 to 25,Kalutara,Student,Diploma,Single,Not applicable,Both,Advertisement,Less than 6 months,Mobile app,"Transfer money to other accounts, Check bank balance",Between 1000 to 5000,Between 5000 to 10000,Yes,No,No,Yes,3,Not applicable
04/11/2020 11:00:39,Male,16 to 25,Matara,Student,A/L,Single,Not applicable,Both,From the bank,Between 6 months to 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance, Set up standing orders",Between 1000 to 5000,Between 1000 to 5000,Yes,No,Yes,No,4,Government banks
04/11/2020 12:16:08,Male,25 to 45,Kalutara,Private Sector,Degree,Single,More than 100000,Both,Advertisement,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 5000 to 10000,Between 1000 to 5000,Yes,Yes,Yes,Neutral,2,Private banks
04/11/2020 12:52:16,Male,16 to 25,Kalutara,Student,A/L,Single,Not applicable,Both,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 1000 to 5000,Less than 1000,Yes,No,Yes,Neutral,4,Private banks
05/11/2020 06:02:05,Male,25 to 45,Jaffna,Self-employed,Degree,Married,More than 100000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",More than 50000,More than 50000,Yes,Yes,Yes,Neutral,5,Private banks
05/11/2020 09:43:36,Male,25 to 45,Colombo,Private Sector,Degree,Single,Between 50000 to 100000,Private,From a friend,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Between 10000 to 50000,Yes,Yes,Yes,No,4,Private banks
05/11/2020 15:51:29,Male,25 to 45,Galle,Private Sector,Degree,Married,Between 50000 to 100000,Both,From a friend,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Between 5000 to 10000,Yes,Yes,Yes,Neutral,4,Private banks
06/11/2020 18:39:31,Male,25 to 45,Colombo,Private Sector,Degree,Married,More than 100000,Private,From a friend,More than 1 year,Browser,"Pay bills, Transfer money to other accounts, Check bank balance",More than 50000,More than 50000,Yes,Yes,Yes,Yes,5,Private banks
06/11/2020 20:58:31,Male,25 to 45,Colombo,Private Sector,Degree,Single,More than 100000,Public,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",More than 50000,Between 10000 to 50000,Yes,No,Yes,No,3,Private banks
